Name,Date,Price
MWG,05/04/2022,77.10 
MWG,04/04/2022,77.00 
MWG,01/04/2022,77.49 
MWG,31/03/2022,72.43 
MWG,30/03/2022,71.73 
MWG,29/03/2022,72.77 
MWG,28/03/2022,71.53 
MWG,25/03/2022,69.00 
MWG,24/03/2022,66.56 
MWG,23/03/2022,67.06 
MWG,22/03/2022,67.16 
MWG,21/03/2022,67.01 
MWG,18/03/2022,65.37 
MWG,17/03/2022,64.97 
MWG,16/03/2022,65.27 
MWG,15/03/2022,65.27 
MWG,14/03/2022,65.42 
MWG,11/03/2022,66.07 
MWG,10/03/2022,66.32 
MWG,09/03/2022,66.47 
MWG,08/03/2022,66.66 
MWG,07/03/2022,66.66 
MWG,04/03/2022,67.46 
MWG,03/03/2022,67.81 
MWG,02/03/2022,66.81 
MWG,01/03/2022,67.56 
MWG,28/02/2022,67.56 
MWG,25/02/2022,68.35 
MWG,24/02/2022,67.96 
MWG,23/02/2022,68.45 
MWG,22/02/2022,68.40 
MWG,21/02/2022,66.51 
MWG,18/02/2022,66.56 
MWG,17/02/2022,66.81 
MWG,16/02/2022,66.02 
MWG,15/02/2022,66.22 
MWG,14/02/2022,65.57 
MWG,11/02/2022,67.21 
MWG,10/02/2022,67.71 
MWG,09/02/2022,68.05 
MWG,08/02/2022,67.71 
MWG,07/02/2022,66.51 
MWG,28/01/2022,65.82 
MWG,27/01/2022,65.32 
MWG,26/01/2022,65.52 
MWG,25/01/2022,65.07 
MWG,24/01/2022,64.53 
MWG,21/01/2022,66.17 
MWG,20/01/2022,65.92 
MWG,19/01/2022,65.52 
MWG,18/01/2022,64.63 
MWG,17/01/2022,64.58 
MWG,14/01/2022,66.56 
MWG,13/01/2022,67.31 
MWG,12/01/2022,67.56 
MWG,11/01/2022,65.47 
MWG,10/01/2022,66.07 
MWG,07/01/2022,67.31 
MWG,06/01/2022,68.30 
MWG,05/01/2022,68.10 
MWG,04/01/2022,68.45 
MWG,31/12/2021,67.51 
MWG,30/12/2021,66.71 
MWG,29/12/2021,66.76 
MWG,28/12/2021,67.46 
MWG,27/12/2021,67.01 
MWG,24/12/2021,66.86 
MWG,23/12/2021,66.37 
MWG,22/12/2021,66.96 
MWG,21/12/2021,66.07 
MWG,20/12/2021,66.07 
